,0,1
359,1.17e-05,5.96e-06
360,2.37e-05,1.23e-05
361,1.22e-05,5.9e-06
362,1.884e-05,6.26e-06
363,2.72e-05,9.3e-06
364,1.12e-05,5.2e-06
365,2.176e-05,6.85e-06
366,1.95e-05,6.2e-06
367,3.17e-05,1.395e-05
368,2.2e-05,8.64e-06
369,2.18e-05,8.17e-06
370,9.5e-06,3.76e-06
371,1.84e-05,7.8e-06
372,1.66e-05,6.5e-06
373,2.056e-05,6.8e-06
374,2.26e-05,6.3e-06
375,6.1e-05,2.193e-05
376,2.396e-05,1.055e-05
377,1.56e-05,8.1e-06
378,1.556e-05,5.07e-06
379,1.836e-05,8.94e-06
380,1.25e-05,5.5e-06
381,1.44e-05,4.77e-06
382,1.28e-05,5.66e-06
383,1.186e-05,5.6e-06
384,2.39e-05,9.06e-06
385,1.08e-05,4.4e-06
386,1.51e-05,4.9e-06
387,2.134e-05,6.1e-06
388,3.374e-05,1.13e-05
389,4.37e-05,2.146e-05
390,3.994e-05,1.866e-05
391,1.26e-05,4.23e-06
392,3.576e-05,1.33e-05
393,1.645e-05,5.84e-06
394,7.04e-05,2.01e-05
395,1.645e-05,5.25e-06
396,1.377e-05,6.6e-06
397,1.353e-05,5e-06
398,5.77e-05,1.64e-05
399,2e-05,7.03e-06
400,1.01e-05,4.6e-06
401,2.587e-05,1.16e-05
402,1.17e-05,4.9e-06
403,1.34e-05,5.25e-06
404,1.55e-05,5.66e-06
405,2.116e-05,7.4e-06
406,1.806e-05,5.84e-06
407,2.867e-05,9.9e-06
408,4.73e-05,1.66e-05
409,9.95e-06,6.5e-06
410,1.38e-05,5.3e-06
411,8.8e-06,3.8e-06
412,2.23e-05,7.75e-06
413,2.32e-05,1.156e-05
414,1.25e-05,6.9e-06
415,2.08e-05,7.3e-06
416,4.005e-05,1.484e-05
417,1.824e-05,6.56e-06
418,1.49e-05,7.4e-06
419,1.55e-05,6.26e-06
420,2.44e-05,7.03e-06
421,1.45e-05,6.2e-06
422,4.244e-05,1.603e-05
423,1.07e-05,5.66e-06
424,1.58e-05,8.17e-06
425,4.61e-05,2.074e-05
426,1.78e-05,5.7e-06
427,1.44e-05,5e-06
428,1.86e-05,7e-06
429,2.58e-05,1.097e-05
430,1.11e-05,4.23e-06
431,1.62e-05,7.57e-06
432,3.546e-05,1.365e-05
433,2.93e-05,1.115e-05
434,2.32e-05,1.11e-05
435,8.64e-06,4.2e-06
436,1.127e-05,4.8e-06
437,1.35e-05,6e-06
438,1.27e-05,4e-06
439,9.24e-06,4e-06
440,8e-06,5e-06
441,3.326e-05,1.05e-05
442,2.545e-05,1.144e-05
443,3.58e-05,1.27e-05
444,1.88e-05,7.03e-06
445,2.09e-05,6.9e-06
446,2.36e-05,6.8e-06
447,7.45e-06,4.3e-06
448,2.2e-05,7.1e-06
449,2.35e-05,1.15e-05
450,4.4e-05,1.86e-05
451,1.21e-05,5.4e-06
452,1.96e-05,6.85e-06
453,2.974e-05,1.067e-05
454,2.81e-05,7.9e-06
455,2.706e-05,8.5e-06
456,1.967e-05,6.44e-06
457,2.605e-05,9.54e-06
458,3.42e-05,1.21e-05
459,1.29e-05,5.4e-06
460,1.043e-05,5.4e-06
461,4.6e-06,3.6e-06
462,5.66e-06,4.23e-06
463,9.6e-06,5.6e-06
464,1.93e-05,6.26e-06
465,9.334e-05,2.265e-05
466,3.21e-05,1.2e-05
467,5.82e-05,1.3e-05
468,3.153e-05,9.95e-06
469,1.335e-05,6.1e-06
470,1.65e-05,7.15e-06
471,1.425e-05,7.7e-06
472,3.314e-05,8.2e-06
473,3.75e-05,9.66e-06
474,1.9e-05,5.84e-06
475,4.78e-05,1.49e-05
476,1.204e-05,5.5e-06
477,8.4e-06,5.07e-06
478,2.307e-05,7.03e-06
479,1.824e-05,6.7e-06
480,1.38e-05,5.4e-06
481,1.2e-05,5.36e-06
482,2.3e-05,8.05e-06
483,1.79e-05,6.8e-06
484,2.08e-05,8.6e-06
485,2.646e-05,7.45e-06
486,3.16e-05,8.76e-06
487,8.76e-06,4.35e-06
488,2e-05,6.9e-06
489,1.806e-05,8.94e-06
490,1.633e-05,5.96e-06
491,1.025e-05,4.35e-06
492,1.92e-05,7.33e-06
493,1.395e-05,5.36e-06
494,3.016e-05,9.3e-06
495,1.943e-05,8.1e-06
496,1.323e-05,5.6e-06
497,3.946e-05,1.63e-05
498,2.51e-05,8.7e-06
499,2.897e-05,9.9e-06
500,1.59e-05,5.96e-06
501,3.517e-05,1.22e-05
